l2_requirement_id,allocated_subsystem
L2-requirement-0001,"subsystem1, subsystem2"
L2-requirement-0002,subsystem1
L2-requirement-0003,subsystem2
L2-requirement-0004,subsystem1
L2-requirement-0005,"subsystem1, subsystem2"
L2-requirement-0006,subsystem1
L2-requirement-0007,"subsystem1, subsystem2"
L2-requirement-0008,"subsystem1, subsystem2"
L2-requirement-0009,subsystem2
L2-requirement-0010,subsystem1
L2-requirement-0011,"subsystem1, subsystem2"
L2-requirement-0012,"subsystem1, subsystem2"
L2-requirement-0013,"subsystem1, subsystem2"
L2-requirement-0014,"subsystem1, subsystem2"
L2-requirement-0015,"subsystem1, subsystem2"
L2-requirement-0016,"subsystem1, subsystem2"
L2-requirement-0017,"subsystem1, subsystem2"
L2-requirement-0018,subsystem2
L2-requirement-0019,"subsystem1, subsystem2"
L2-requirement-0020,"subsystem1, subsystem2"
